theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,5,CVQ,semantic,last,0.23,,0.15,0.31,,100,,0,0.23,"{""correct"": 23, ""intermediate_intrusion"": 67, ""primacy_intrusion"": 10}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,5,FVQ,semantic,first,0.93,,0.88,0.98,,100,,2,0.949,"{""correct"": 93, ""garbage"": 2, ""intermediate_intrusion"": 5}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,7,CVQ,semantic,last,0.2,,0.12,0.28,,100,,2,0.2041,"{""correct"": 20, ""garbage"": 2, ""intermediate_intrusion"": 73, ""primacy_intrusion"": 5}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,7,FVQ,semantic,first,0.92,,0.86,0.97,,100,,0,0.92,"{""correct"": 92, ""intermediate_intrusion"": 8}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,10,CVQ,semantic,last,0.31,,0.22,0.4,,100,,2,0.3163,"{""correct"": 31, ""garbage"": 2, ""intermediate_intrusion"": 65, ""primacy_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,10,FVQ,semantic,first,0.87,,0.8,0.93,,100,,2,0.8878,"{""correct"": 87, ""garbage"": 2, ""intermediate_intrusion"": 11}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,15,CVQ,semantic,last,0.2,,0.13,0.28,,100,,1,0.202,"{""correct"": 20, ""garbage"": 1, ""intermediate_intrusion"": 77, ""primacy_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,15,FVQ,semantic,first,0.83,,0.76,0.9,,100,,3,0.8557,"{""correct"": 83, ""garbage"": 3, ""intermediate_intrusion"": 14}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,20,CVQ,semantic,last,0.19,,0.12,0.27,,100,,2,0.1939,"{""correct"": 19, ""garbage"": 2, ""intermediate_intrusion"": 78, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,20,FVQ,semantic,first,0.77,,0.69,0.85,,100,,2,0.7857,"{""correct"": 77, ""garbage"": 2, ""intermediate_intrusion"": 21}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,30,CVQ,semantic,last,0.2,,0.13,0.28,,100,,6,0.2128,"{""correct"": 20, ""garbage"": 6, ""intermediate_intrusion"": 73, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,30,FVQ,semantic,first,0.66,,0.57,0.75,,100,,10,0.7333,"{""correct"": 66, ""garbage"": 10, ""intermediate_intrusion"": 24}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,50,CVQ,semantic,last,0.09,,0.04,0.15,,100,,14,0.1047,"{""correct"": 9, ""garbage"": 14, ""intermediate_intrusion"": 76, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,50,FVQ,semantic,first,0.56,,0.47,0.65,,100,,10,0.6222,"{""correct"": 56, ""garbage"": 10, ""intermediate_intrusion"": 34}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,75,CVQ,semantic,last,0.13,,0.07,0.2,,100,,17,0.1566,"{""correct"": 13, ""garbage"": 17, ""intermediate_intrusion"": 70}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
