state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
lora,25,20,IVQ_d50,12,,0.4916666666666667,0.4180555555555556,,0.0,60,60,60,0
lora,25,20,IVQ_d50,13,,0.4222222222222222,0.42777777777777787,,0.0,60,60,60,0
lora,25,20,IVQ_d50,14,,0.44861111111111107,0.3513888888888889,,0.0,60,60,60,0
lora,25,20,IVQ_d50,15,,0.5013888888888889,0.45138888888888895,,0.0,60,60,60,0
lora,25,20,IVQ_d50,16,,0.4472222222222223,0.4458333333333333,,0.0,60,60,60,0
lora,25,20,IVQ_d50,17,,0.4458333333333333,0.4222222222222222,,0.0,60,60,60,0
lora,25,20,IVQ_d50,18,,0.4541666666666666,0.3819444444444444,,0.0,60,60,60,0
lora,25,20,IVQ_d50,19,,0.43888888888888894,0.39166666666666666,,0.0,60,60,60,0
lora,25,20,IVQ_d50,20,,0.3708333333333333,0.4138888888888889,,0.0,60,60,60,0
lora,25,20,IVQ_d50,21,,0.4555555555555556,0.44861111111111107,,0.0,60,60,60,0
lora,25,20,IVQ_d50,22,,0.49722222222222223,0.4111111111111111,,0.0,60,60,60,0
lora,25,20,IVQ_d50,23,,0.48611111111111105,0.4569444444444445,,0.0,60,60,60,0
lora,25,20,IVQ_d50,24,,0.48194444444444445,0.3902777777777778,,0.0,60,60,60,0
lora,25,20,IVQ_d50,25,,0.4930555555555555,0.45972222222222225,,0.0,60,60,60,0
lora,25,20,IVQ_d50,26,,0.4666666666666666,0.42638888888888893,,0.0,60,60,60,0
lora,25,20,IVQ_d50,27,,0.4972222222222221,0.3819444444444445,,0.0,60,60,60,0
lora,25,20,IVQ_d50,28,,0.4847222222222222,0.42361111111111105,,0.0,60,60,60,0
lora,25,20,IVQ_d50,29,,0.43611111111111106,0.3902777777777778,,0.0,60,60,60,0
lora,25,20,IVQ_d50,30,,0.38472222222222224,0.3625,,0.0,60,60,60,0
lora,25,20,IVQ_d50,31,,0.42777777777777776,0.43194444444444446,,0.0,60,60,60,0
lora,25,20,IVQ_d50,32,,0.49722222222222223,0.3708333333333333,,0.0,60,60,60,0
lora,25,20,IVQ_d50,33,,0.4736111111111111,0.4638888888888889,,0.0,60,60,60,0
lora,25,20,IVQ_d50,34,,0.41527777777777775,0.4916666666666666,,0.0,60,60,60,0
lora,25,20,IVQ_d50,35,,0.5569444444444445,0.6097222222222223,,0.0,60,60,60,0
lora,25,20,IVQ_d75,0,0.4248063340168603,0.48137500000000005,0.4470613595132428,,0.0475,400,400,381,19
lora,25,20,IVQ_d75,1,0.47394338118022333,0.493,0.438183690522522,,0.0475,400,400,381,19
lora,25,20,IVQ_d75,2,0.5453121439963545,0.4961875,0.43521499096651095,,0.0475,400,400,381,19
lora,25,20,IVQ_d75,3,0.5089855320118477,0.48696875000000006,0.4369342330691577,,0.0475,400,400,381,19
lora,25,20,IVQ_d75,4,0.5248775347459558,0.49353125000000003,0.4467910439741932,,0.0475,400,400,381,19
